title,main,source,date,url
"Hendi Minta Ganjar-Mahfud Tak Risaukan Survei, Janjikan Suara 70% di Semarang","Ketua DPC PDI Perjuangan Kota Semarang, Hendrar Prihadi (Hendi) mengingatkan kepada kader dan pendukung Ganjar Pranowo-Mahfud Md agar tidak khawatir dengan hasil survei. Bahkan, Hendi yakin Semarang bakal mendulang 70 persen suara untuk pasangan Capres-Cawapres nomor urut tiga itu.
Hal itu diungkapkan Hendi saat bertemu Tim Pemenangan Cabang (TPC) Kota Semarang dalam deklarasi Tim Pemenangan Daerah Ganjar Mahfud, di Hotel Grasia Semarang. Berbagai survei yang menunjukkan elektabilitas Ganjar-Mahfud berada jauh di bawah paslon Prabowo Subianto-Gibran Rakabuming Raka diharapkan tidak membuat risau para pendukung.
""Ya saya rasa kawan-kawan pendukung Ganjar-Mahfud di Semarang ini nggak perlu risau dengan hasil survei, karena survei kan beraneka ragam. Kan ada yang bisa dibayar, sebelum disurvei dibilas dulu dan lain-lain. Tapi yang harus saya sampaikan survei jangan dijadikan sebagai acuan, cukup dilihat saja, di sana surveinya begini, di sana begitu,"" ujar Hendi di Hotel Grasia Semarang, Jumat (29/12/2023).
ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Hendi juga menyebutkan soal hasil survei internal TPN Ganjar-Mahfud yang hasilnya juga menyebutkan pasangan Prabowo-Gibran masih mengungguli Ganjar-Mahfud. Menurutnya dengan hasil survei itu maka tim akan melakukan langkah untuk mengejar pasangan nomor urut dua.
""Termasuk di TPN dilakukan survei, memang rilis dari TPN, Pak Prabowo masih di nomor satu dengan 42 persen. Tapi Mas Ganjar juga meningkat menuju 37 persen. Selisih inilah dalam waktu 48 hari ini dilakukan langkah-langkah penetrasi untuk bisa mengejar pasangan nomor dua. Kami yakin seyakinnya bahwa terutama di Semarang, Jawa Tengah, pendukung Mas Ganjar masih banyak,"" jelas Hendi.
Menurutnya survei hanya mengambil sampel. Kemudian berkaca dari kemenangan Ganjar di Pilgub Jateng 2013 di mana hasil survei Ganjar menyebut popularitasnya hanya 7 persen. Namun saat pemilihan dilakukan ternyata Ganjar menang sehingga menurut Hendi, Semarang masih akan memberikan banyak suara kepada Ganjar-Mahfud dalam Pilpres 2023.
""Tapi saya yakin Semarang, kami punya target menang sampai 70 persen,"" tegasnya.
Diberitakan sebelumnya, Deputi Politik 5.0 TPN Ganjar-Mahfud, Andi Widjajanto membeberkan hasil survei internal. Dikutip dari detikNews, Andi menyebut berdasarkan survei terkini, Prabowo Subianto dan Gibran Rakabuming Raka berada di posisi teratas, diikuti oleh Ganjar Pranowo dan Mahfud Md, serta pasangan AMIN (Anies Baswedan-Muhaimin Iskandar).
Metode survei yang dilakukan TPN. Di antaranya menggunakan survei konvensional, FGD (forum group discussion) 31 kota, dan predictive media analysis. Andi menjelaskan metode konvensional mirip seperti yang digunakan oleh lembaga survei di mana sampel dan MoE (Margin of Error) berada di angka normal. Ia menyebut untuk metode FGD pihaknya menjangkau 3.000-4.000 peserta di 31 kota.
""Media Analytic bisa dilakukan real-time, misal untuk amati traffic dan sentimen selama debat berlangsung, ditarik jutaan titik data di seluruh platform media. Di TPN, ada laporan traffic 24 jam, 7 hari, dan traffic dari 28 November (awal kampanye) hingga hari ini,"" ujar Andi dikonfirmasi, Rabu (27/12).
Hasil dari survei internal itu adalah Prabowo-Gibran berada di posisi teratas dengan perolehan 41,1%. Posisi kedua diikuti Ganjar dan Mahfud sebesar 37% dan Anies-Muhaimin senilai 21,7%. Ia menyebut ada peningkatan dari Ganjar dibandingkan hasil internal TPN tujuh hari yang lalu.
""Jadi terjadi peningkatan dari posisinya Mas Ganjar sekitar 2% gabungan triangulasi metode itu. Tujuh hari yang lalu Mas Ganjar posisinya di 35, lalu dalam 24 jam terakhir ada di 37. Prabowo di tujuh hari yang lalu ada di 42,6 lalu hari ini ada di 41,1. Mas Anies tujuh hari yang lalu ada di 22 lalu stabil di 21,7%,"" kata Andi.
Mahfud Sebut Aspek Pidana Al-Zaytun Segera Diselesaikan-Kurikulum Dievaluasi",www.detik.com,2023-12-29,https://www.detik.com/jateng/berita/d-7115554/hendi-minta-ganjar-mahfud-tak-risaukan-survei-janjikan-suara-70-di-semarang
"Luruskan Ucapan Cak Imin, Jubir AMIN Akui Sulit Jadikan Kota Selevel Jakarta","Timnas AMIN meluruskan pernyataan cawapres Muhaimin Iskandar atau Cak Imin yang bilang ingin membangun 40 kota selevel Jakarta saat debat kedua Pilpres 2024 beberapa waktu lalu. Apa kata Timnas AMIN?
Jubir Timnas AMIN Sulfikar Amir menjelaskan bahwa saat debat cawapres, tidak cukup waktu untuk Cak Imin menjelaskan secara lengkap maksud program pembangunan 40 kota selevel Jakarta. Hal itu karena waktu berbicara dalam debat yang sangat terbatas.
""Jadi memang waktunya itu tidak cukup untuk Gus Imin mengelaborasi, apa sih sebenarnya yang dimaksud dengan 40 kota. Jadi 40 kota ini adalah sebuah program pembangunan dan upgrading kota-kota yang sudah ada di Indonesia,"" kata Sulfikar, kepada wartawan, di Markas Pemenangan Timnas AMIN, Jl Diponegoro 10, Menteng, Jakarta Pusat, Jumat (29/12/2023).
ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Sulfikar menyebut Cak Imin selip lidah saat membeberkan program 40 kota baru selevel Jakarta dalam debat cawapres. Menurutnya, maksud Cak Imin soal pembangunan 40 kota itu yakni pengembangan 40 kota yang sudah ada di Indonesia.
""Jadi mungkin Gus Imin salah sebut ketika beliau mengatakan 40 kota baru, enggak, itu slip of tongue ya, yang mestinya beliau katakan itu adalah pembangunan dan upgrading 40 kota yang sudah ada di seluruh Indonesia dan ini adalah program yang akan kita lakukan 5 sampai 10 tahun ke depan,"" jelasnya.
Dia mengatakan dari program 40 kota itu, 14 kota di antaranya menjadi prioritas pasangan Anies Baswedan-Cak Imin untuk dikembangkan menjadi titik pertumbuhan baru. Ke-14 kota itu, kata Sulfikar, berada di luar Pulau Jawa.
""Di mana kita akan mengalokasikan anggaran yang tadinya dipakai untuk IKN, lalu kita pindahkan, kita realokasikan untuk mengupgrade 14 kota di luar Pulau Jawa sebagai bagian dari program 40 kota tadi dan ini akan menjadi satu upaya untuk mencapai pemerataan pertumbuhan secara lebih efektif,"" ucap Sulfikar.
""Karena ada 14 titik baru yang akan kita angkat dibandingkan dengan satu titik di tengah hutan yang kita belum tahu gimana kita menghidupnya,"" tambahnya.
Lebih lanjut, dia juga meluruskan bahwa kota-kota yang menjadi prioritas itu tidak mungkin menyamai level Jakarta. Sebab, kata dia, level Jakarta terlalu tinggi dibanding kota-kota lainnya di Tanah Air.
""Saya juga perlu sedikit klasifikasi mengenai kota selevel Jakarta, karena Jakarta itu satu-satunya kota yang punya level terlalu tinggi untuk kota-kota lain, dilihat dari level populasi, dilihat dari level luas wilayah, dilihat dari level APBD, dan dilihat dari PDRB, yang sebesar Rp 100 triliunan lebih gitu. Jadi akan sangat sulit untuk menjadikan kota-kota lain selevel Jakarta,"" ujar Sulfikar.
""Tetapi yang ingin kita lakukan adalah mengangkat kota-kota lain seperti Jakarta dalam arti bersifat citizen oriented, berorientasi pada warga kota dan itulah yang dilakukan oleh Anies Baswedan selama menjadi Gubernur di mana layanan-layanan publik seperti transportasi kemudian ruang publik, ruang hijau, seperti taman. Lalu kemudian apa namanya, fasilitas kesehatan dan sebagainya itulah yang kemudian kita upgrade di kota-kota ini supaya mereka bisa memiliki tingkat kenyamanan yang lebih baik,"" imbuhnya.",news.detik.com,2023-12-29,https://news.detik.com/pemilu/d-7115528/luruskan-ucapan-cak-imin-jubir-amin-akui-sulit-jadikan-kota-selevel-jakarta
Anies Baswedan Bakal Rayakan Tahun Baru di Jogja Bareng Keluarga,"Capres nomor urut 1, Anies Baswedan, bakal merayakan momen pergantian tahun di Yogyakarta. Anies tahun baruan di Jogja bersama keluarganya.
""Mas Anies akan tahun baruan di Jogja. Dia Insyaallah akan di Jogja tanggal 31 (Desember 2023) dan 1 (Januari 2024), akan bersama keluarga,"" kata Jubir Timnas AMIN, Usamah Abdul Aziz kepada wartawan di Markas Pemenangan Timnas AMIN, Jl Diponegoro 10, Menteng, Jakarta Pusat, Jumat (29/12/2023).
Usamah menjelaskan alasan Anies merayakan tahun baru bersama keluarganya di Jogja. Menurutnya, Anies ingin quality time bareng keluarga karena selama ini sibuk keliling daerah untuk kampanye.
ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
""Karena selama ini kan waktunya habis buat muter-muter ya. Jadi tanggal 31 dan 1 Januari, beliau akan Jogja sama keluarga,"" ucapnya.
Selama di Jogja, Anies disebut juga akan melakukan sejumlah pertemuan dengan beberapa pihak. Tapi, Usamah bilang Anies di Jogja juga sambil liburan.
""Ada beberapa hal mungkin meeting-meeting pertemuan gitu ya dengan beberapa pihak tetapi sekaligus juga untuk liburan di Jogja. Karena kan memang kampung halamannya ya Yogyakarta, beliau akan juga menginap di rumahnya beliau,"" imbuhnya.",news.detik.com,2023-12-25,https://news.detik.com/pemilu/d-7115523/anies-baswedan-bakal-rayakan-tahun-baru-di-jogja-bareng-keluarga
"Cak Imin: Kalau Ada Fitnah soal Anies, Saya Bersaksi Dia Orang Saleh","Cawapres nomor urut 1, Muhaimin Iskandar atau Cak Imin berkampanye di Tuban, Jawa Timur. Di momen itu, Cak Imin sempat menyinggung soal adanya fitnah yang ingin mengganggu Anies Baswedan.",news.detik.com,2023-12-29,https://news.detik.com/detiktv/d-7115504/cak-imin-kalau-ada-fitnah-soal-anies-saya-bersaksi-dia-orang-saleh
"TPN Ganjar Sebut Pemilu 2024 Paling Menegangkan, Kenapa?","Tim Pemenangan Nasional (TPN) Ganjar Pranowo-Mahfud Md menilai Pemilu 2024 menjadi pemilu yang paling menegangkan. Kenapa?
Hal tersebut disampaikan Wakil Deputi Hukum TPN, Henry Yosodiningrat, di Media Center TPN Ganjar-Mahfud, Jakarta, Jumat (29/12/2023). Henry mulanya berbicara terkait dugaan kriminalisasi yang dilakukan pada saat pemilu. Dia menyinggung kasus terkait jubir TPN Aiman Witjaksono hingga Butet Kartaredjasa yang mengaku diintimidasi saat pementasan.
""Terkait kriminalisasi dan sebagainya. Saya ingin menyampaikan satu harapan ya kepada pemerintah. Sekarang ini yang dihadapi oleh masyarakat bukan peserta pemilu atau pasangan calon ya. Yang dirasakan masyarakat adalah keberpihakan penguasa, keberpihakan penguasa di sini ya KPU misalnya, termasuk kecurangan,"" kata Henry di lokasi, Jumat (29/12/2023).
ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Henry mengaku mendapat keluhan dari masyarakat yang mendapatkan intimidasi dari pihak tertentu karena mendukung salah satu paslon. Dia mengaku mendapat keluhan dari ketua RT dan RW yang dimaki kepala desa untuk mendukung paslon tertentu.
""Saya mendengarkan keluhan bahwa mereka waktu di lapangan, waktu pertemuan-pertemuan, mereka berani memakai kaus atau seragam dari satu pasangan calon. Tapi ketika mereka sudah kembali ke lingkungannya, mereka takut. Mereka nggak berani untuk pakai di situ. Bukan dengan tetangganya mereka takut karena perbedaan, tapi ada intimidasi-intimidasi dari pihak tertentu,"" kata dia.
""Bukan cerita hoaks, yang ada aparat. Misalnya RT, RW dimaki-maki kepala desa, kaitannya untuk berpihak ke salah satu pasangan calon itu terdapat di mana-mana,"" imbuhnya.
Henry lalu menyebut Pemilu 2024 menjadi pemilu yang paling menegangkan. Kenapa?
""Saya merasakan pemilu kali ini pemilu yang paling menegangkan, kenapa? Karena semua denyut nadi masyarakat kita ini merasakan adanya tekanan-tekanan dari penguasa. Tolong hentikan tekanan-tekanan itu, jangan hanya karena takut, karena mempertahankan jabatan, takut dengan penguasa tapi mengkhianati bangsa ini,"" tuturnya.
Minta Proses Hukum Kasus Aiman dan Butet Ditunda
Sementara itu, Deputi Hukum Tim Pemenangan Nasional (TPN) Ganjar Pranowo-Mahfud Md, Todung Mulya Lubis, meminta pihak kepolisian untuk menunda proses hukum peserta pemilu. Termasuk Aiman Witjaksono yang dilaporkan di Polda Metro Jaya dan juga Butet Kartaredjasa yang dilaporkan lantaran mengaku diintimidasi.
""Kalau dalam konteks kriminalisasi, saya ingin tegaskan Aiman tidak boleh dikriminalisasi. Karena menurut saya dia menyampaikan pendapat dan ada sumber nya karena dia juga mengutip dari media. Nah perbedaan pendapat itu sah dan wajar saja. tapi apakah perbedaan pendapat itu jadi alasan untuk mengkriminalisasi Aiman? Tidak boleh sama sekali Aiman dikriminalisasi,"" ujarnya.
Todung menyebut penundaan proses hukum tersebut juga berlaku untuk Jubir Timnas Anies-Cak Imin (Timnas AMIN) Indra Charismiadji yang ditangkap kejaksaan. Indra ditetapkan menjadi tersangka kasus pidana pajak dan Tindak Pidana Pencucian Uang (TPPU).
""Juga bicara AMIN ya, itu TPPU. Mungkin saja itu terjadi. Tapi kita berpegang pada asas praduga tak bersalah. selama proses kampanye please don't criminalize, jangan melakukan kriminalisasi selama masa kampanye sampai pilpres selesai. Kalau pilpres sudah selesai, monggo. Tapi kalau ada kasus yang sangat telanjang dengan bukti yang telak, mungkin nanti kita lihat kasus demi kasus. Tapi saya bicara soal prinsip umum,"" jelasnya.
Todung menuturkan, penundaan proses hukum terhadap peserta pemilu penting dilakukan agar tidak mengganggu keberlangsungan pemilu. Selain itu, proses hukum tersebut dikhawatirkan bisa digunakan untuk menekan pihak tertentu.
""Kenapa kita mesti menghentikan proses hukum terhadap mereka yang terlibat dalam kampanye pilpres dan pileg ini? Ya karena itu akan mengganggu ya iklim pilpres dan pemilu itu. Ya itu juga bisa dijadikan sebagai alat untuk menekan. Ya tidak boleh ada penyalahgunaan kekuasaan termasuk mengarahkan aparat penegak hukum, melakukan proses hukum. Apakah itu penyelidikan, penyelidikan, apalagi penuntutan dan pengadilan. Sama sekali tidak boleh,"" pungkasnya.",news.detik.com,2017-09-07,https://news.detik.com/pemilu/d-7115489/tpn-ganjar-sebut-pemilu-2024-paling-menegangkan-kenapa
Cak Imin Sebut Pendukung Ditawarkan Uang Besar Agar Berhenti Dukung AMIN,"Calon wakil presiden (cawapres) nomor urut 1, Muhaimin Iskandar atau Cak Imin menyebut ada praktik politik uang yang terjadi menjelang pemilu 2024. Praktik politik uang tersebut juga menyasar pendukungnya. Ia menyebut pendukung AMIN ditawari uang besar agar berhenti mendukung dirinya dan Anies Baswedan.
Hal itu diungkapkan Cak Imin usai meninjau petambak di Kecamatan Manyar, Gresik, Jawa Timur. Cak Imin menyebut praktik tersebut bukan kecurangan melainkan politik uang.
""Kalau itu bukan kecurangan. Itu namanya money politics di mana beberapa orang kami didatangi uang besar, kemudian tidak usah membantu mereka, tapi cukup berhenti membantu AMIN. Bahkan uangnya dikasih tahu ke kita ya,"" kata Cak Imin, dilansir detikNews, Jumat (29/12/2023).
ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Menurut Cak Imin, nominal yang ditawarkan ke orangnya berbeda-beda. Ia juga menyebut perbuatan politik uang tidak sehat dalam dunia politik Tanah Air.
""Tergantung tokoh-tokoh yang kami punya berbeda-beda. Oleh karena itu, cara-cara seperti ini menurut saya tidak sehat, biarkanlah semua bergerak sesuai aspirasi,"" katanya.
Usai mendapat laporan tersebut, Cak Imin mengaku bakal menindaklanjutinya. Namun tokoh yang disodorkan uang tersebut, kata Cak Imin, belum mau melaporkan dan hanya memberi data.
""Ya kalau itu nanti datanya lengkap karena beberapa tokoh itu nggak mau melaporkan, hanya memberi data ya, nanti kita cek. Pastilah kita rencana ngelaporin,"" ucapnya.
Data Pemilih Diduga Bocor, Cak Imin: Ada Upaya Sistematis Ganggu Pemilu",www.detik.com,2023-12-28,https://www.detik.com/sumut/berita/d-7114939/cak-imin-sebut-pendukung-ditawarkan-uang-besar-agar-berhenti-dukung-amin
Tim Hukum AMIN Soroti Indra Charismiadji Ditahan Terkait Pajak,Jakarta - Tim Hukum Nasional Anies-Cak Imin (AMIN) soroti penangkapan Indra Charismiadji terkait pajak. Mereka menilai kasus Indra sudah lama dan tak bernilai fantastis.,news.detik.com,2023-12-28,https://news.detik.com/foto-news/d-7112624/tim-hukum-amin-soroti-indra-charismiadji-ditahan-terkait-pajak
Momen Keluarga Besar HMI Dukung Anies-Cak Imin,"Deklarasi itu juga dilaksanakan secara daring, diikuti para peserta dari berbagai wilayah di Indonesia dan luar negeri.",news.detik.com,2023-12-27,https://news.detik.com/foto-news/d-7110678/momen-keluarga-besar-hmi-dukung-anies-cak-imin
"Antisipasi Kecurangan Pemilu, Tim Hukum AMIN Latih Calon Saksi",Jakarta - Tim Hukum Anies Baswedan-Muhaimin Iskandar atau AMIN melatih calon saksi TPS. Pelatihan dilakukan untuk mengantisipasi kecurangan Pemilu 2024.,news.detik.com,2023-12-26,https://news.detik.com/foto-news/d-7109528/antisipasi-kecurangan-pemilu-tim-hukum-amin-latih-calon-saksi
Bingkai Sepekan: Momen Unik Debat Cawapres hingga Persiapan Natal 2023,Jakarta - Bingkai Sepekan detikfoto kali ini merangkum momen-momen unik debat perdana cawapres hingga persiapan Natal dan Tahun Baru 2024.,news.detik.com,2023-12-23,https://news.detik.com/foto-news/d-7104924/bingkai-sepekan-momen-unik-debat-cawapres-hingga-persiapan-natal-2023
