title,main,source,date,url
"Anies-Muhaimin Kampanye ke Banyuwangi, Lumbung Suara Jokowi","JAKARTA, KOMPAS.com - Memasuki hari ke 32 kampanye Pemilihan Presiden (Pilpres) 2024, calon presiden dan calon wakil presiden (capres-cawapres) nomor urut 1, Anies Baswedan dan Muhaimin Iskandar (Cak Imin) akan berkampanye di Banyuwangi, Jawa Timur.
Informasi dari Kedeputian Media dan Komunikasi Timas Anies-Muhaimin, pasangan calon nomor urut 1 itu akan kampanye bersama di beberapa titik di Banyuwangi.
Anies akan mengawali kampanye sebagai narasumber dalam kampanye bertajuk ""Desak Anies dengan tema nelayan dan perikanan di Pantai Blimbingsari Kecamatan Rogojampi.
""Pukul 09.00 menjadi narasumber utama dalam acara Desak Anies dengan tema nelayan dan perikanan, lokasi pantai Belimbingsari,"" tulis informasi yang diterima Kompas.com, Rabu (27/12/2023).
Baca juga: Gaya Kampanye Prabowo, Anies, dan Ganjar Disorot Media Asing, Apa Kata Mereka?
Kemudian, Anies akan menyapa komunintas adat Osing yang berada di Kampung Osing, Dusun Kampungbaru.
Acara selanjutnya menghadiri pengajian Aqsona di Gesibu. Di titik ini, Cak Imin juga turut hadir.
Mereka bedua kemudian menutup hari ke-32 kampanye dengan sowan ke Pondok Pesantren Walisongo, Situbondo, Jawa Timur.
Cak Imin mengawali kampanyenya dengan berdialog bersama para petani di Diapong, BTS, Banyuwangi.
Lumbung suara Jokowi
Presiden Joko Widodo (Jokowi) memiliki pendukung cukup besar di Kabupaten Banyuwangi.
Hal itu terlihat dari hasil Pilpres 2019 yang mencatat 70,94 persen pemilih Banyuwangi memandatkan lJokowi sebagai Presiden pada saat itu.
Baca juga: Cak Imin: Saya Dapat Bocoran, Anies-Muhaimin Menang Tipis di Banten
Perolehan suara Jokowi tersebut mengalami peningkatan pesat dibandingkan pada Pemilu 2014 yang hanya berada di 59,8 persen saja.
Dikutip dari Kompas.id, Sosiolog yang juga Rektor Universitas 17 Agustus 1945 Banyuwangi Andang Subaharianto menyebut, kemenangan Jokowi di Banyuwangi merupakan efek dari cawapresnya saat itu, Maruf Amin.
Basis suara santri dinilai sebagai tambahan pemilih yang pesat karena sosok Maruf Amin yang bergabung di kubu Jokowi.",nasional.kompas.com,2020-03-10,https://nasional.kompas.com/read/2023/12/28/05121001/anies-muhaimin-kampanye-ke-banyuwangi-lumbung-suara-jokowi
"Singgung Pertanyaan Gibran soal SGIE, Anies: Kalau Begitu Saya Jawab ""GHIJKLMN...""","BANYUWANGI, KOMPAS.com - Calon presiden nomor urut 1, Anies Baswedan menyindir pertanyaan calon wakil presiden nomor urut 2, Gibran Rakabuming Raka yang sempat menanyakan terkait SGIE atau State of the Global Islamic Economy dalam debat cawapres 22 Desember lalu.
Awalnya, moderator kampanyenya dalam tajuk ""Desak Anies"" menanyakan kepada Anies soal pertanyaan-pertanyaan nelawan di Banyuwangi Jawa Timur, Kamis (28/12/2023).
""Mas Anies bagaimana pertayaannya, apakah sesulit SGIE?"" ujar moderator berkelakar.
Baca juga: Anies-Muhaimin Kampanye ke Banyuwangi, Lumbung Suara Jokowi
Anies kemudian menjawab ""Kalau pertanyaannya kayak begitu saya jawab apa? GHIJKLMN.""
Dalam kampanye di Banyuwangi, Anies membuka dialog dengan masyarakat nelayan.
Salah satu pembahasannya mengenai perizinan melaut yang dinilai sulit diurus.
Saat ditanya hal tersebut, Anies menyinggung Undang-Undang Omnibus Law yang merupakan aturan mempermudah para pengusaha.
Namun, aturan tersebut dinilai dibuat bukan untuk masyarakat kecil, tapi untuk para konglomerat.
""Nah, kami melihat ini harus diubah, mengapa orang-orang yang mau berkegiatan usaha skala besar izinnya dibuat mudah, bahkan dibuat Omnibus untuk mereka mau mudah, betul tidak?"" kata Anies.
""Itu buat yang kecil atau yang besar? Yang besar. Kenapa yang besar dipermudah dan yang kecil selalu dipersulit?"" kata dia.
Anies mengatakan, harus ada aturan yang mempermudah masyarakat kecil dalam mendapatkan izin usaha.
Dia memberikan contoh kebijakan izin usaha mikro di Jakarta yang sempat dikerjakan saat menjadi Gubernur DKI.
Baca juga: Survei CSIS: Elektabilitas Prabowo-Gibran 43,7 Persen, Anies-Muhaimin 26,1 Persen, Ganjar-Mahfud 19,4 Persen
Saat itu, kata Anies, kebijakan perizinan tak hanya diam di tempat tapi langsung jemput bola memberikan izin usaha kepada masyarakat kecil.
""Kami perintahkan seluruh jajaran, mendatangi usaha-usaha kecil mikro dan diberikan izinnya di lokasi mereka bekerja. Jadi menjemput bola, bahkan sempat eker-ekeran (kejar-kejaran), karena ketika petugas datang dipikir mau digusur,"" tutur dia.
""Kami ingin ubah, bukan nelayan yang mengurus tapi kami mendatangi dan kami buat mudah dan perizinan dibuat sekali selesai. Jadi bapak ibu ketika saya mengatakan, bukan akan, tapi sudah dilakukan,"" ucap Anies.",nasional.kompas.com,2020-03-10,https://nasional.kompas.com/read/2023/12/28/10492381/singgung-pertanyaan-gibran-soal-sgie-anies-kalau-begitu-saya-jawab-ghijklmn
"Hari Ke-30 Kampenye, Anies-Muhaimin Bakal Terima Dukungan dari KB HMI","JAKARTA, KOMPAS.com - Pasangan calon presiden dan calon wakil presiden (capres-cawapres) nomor urut 1, Anies Baswedan dan Muhaimin Iskandar dijadwalkan melanjutkan kampanye untuk pemilihan presiden (pilpres) hari ke-30 di Jakarta, Rabu (27/12/2023).
Informasi dari Kedeputian Media dan Komunikasi Tim Nasional Pemenangan Anies-Muhaimin (Timnas Amin), keduanya bakal menerima dukungan dari Keluarga Besar Himpunan Mahasiswa Islam (KB HMI).
Deklarasi dukungan untuk pasangan Anies dan Muhaimin bakal digelar di Swasana Lippo Kuningan Grand Ballroom, Jalan HR. Rasuna Said, Kuningan, Kota Jakarta Selatan sekitar pukul 10.00 WIB.
Baca juga: Nilai IKN Bukan Prioritas, Anies: Bereskan Hal-hal yang Dasar di Kalimantan
Setelah deklarasi, hanya Muhaimin yang memiliki agenda lanjutan hari ini. Sementara itu, Anies tidak tercatat memiliki jadwal kampanye.
Pria yang karib disapa Cak Imin itu bakal melakukan safari politiknya melakukan silaturahmi dengan relawan Anies-Muhaimin (Amin) se-Banten pada pukul 13.30 WIB.
Baca juga: Resmikan Kampung Anies Pontianak, Anies: Kampung ini Jadi Percontohan
Silaturahmi ini digelar di Hall Islamic Village Karawaci, Jalan Raya Qodr, Nomor 12, Kelapa Dua, Tangerang.
Masih di wilayah yang sama, Ketua Umum Partai Kebangkitan Bangsa (PKB) itu dijadwalkan akan meresmikan Markas KAM1 di Stadion Mini Sukamulya, Merak, Tangerang.",nasional.kompas.com,2020-03-10,https://nasional.kompas.com/read/2023/12/27/05472631/hari-ke-30-kampenye-anies-muhaimin-bakal-terima-dukungan-dari-kb-hmi
Survei CSIS: Elektabilitas Prabowo-Gibran dan Anies-Muhaimin Bersaing Ketat di Sumatera dan Jakarta-Banten,"JAKARTA, KOMPAS.com - Hasil survei terbaru dari Centre for Strategic and International Studies (CSIS) mengungkapkan, elektabilitas pasangan capres-cawapres nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka dan nomor urut 1 Anies Baswedan-Muhaimin Iskandar bersaing ketat di wilayah Sumatera dan Jakarta-Banten.
CSIS melakukan survei dan mem-breakdown elektabilitas capres-cawapres berdasarkan wilayah yang terbagi menjadi Sumatera; Jakarta-Banten; Jawa Barat; Jawa Tengah-Yogyakarta; Jawa Timur; Bali-Nusa Tenggara; Kalimantan; Sulawesi-Gorontalo; dan Maluku-Papua.
“Kalau kita breakdown berdasarkan zona, memang menunjukkan di wilayah Sumatera itu pasangan 01 dan 02 masih bersaing ketat,” kata Kepala Departemen Politik dan Perubahan Sosial CSIS Arya Fernandes dalam konferensi pers secara daring, Rabu (27/12/2023).
Baca juga: Survei CSIS: Elektabilitas Prabowo-Gibran 43,7 Persen, Anies-Muhaimin 26,1 Persen, Ganjar-Mahfud 19,4 Persen
Di wilayah Sumatera, elektabilitas Anies-Muhaimin 34,4 persen, sedangkan Prabowo-Gibran mendapatkan 36,5 persen.
Sementara di Jakarta-Banten, elektabilitas sama-sama 35,2 persen.
Namun, dalam hal ini, pasangan Prabowo-Gibran yang paling sering memenangi wilayah. Selain di Sumatera, Prabowo-Gibran juga menang di Jawa Barat, Jawa Timur, Bali-Nusa Tenggara, Kalimantan, Sulawesi-Gorontalo, dan Maluku-Papua.
Sementara itu, pasangan capres-cawapres nomor urut 2 Ganjar Pranowo-Mahfud MD hanya menang di wilayah Jawa Tengah-Yogyakarta.
Sebagai catatan, persentase responden di tiap wilayah-wilayah berbeda. Rinciannya adalah Sumatera 21,9 persen (dari jumlah responden), Jakarta-Banten 8,1 persen, Jawa Barat 17,7 persen, Jawa Tengah-Yogyakarta 15,4 persen, Jawa Timur 15,4 persen, Bali-Nusa Tenggara 5,4 persen, Kalimantan 6,2 persen, Sulawesi-Gorontalo 6,9 persen, dan Maluku-Papua 3,1 persen.
Elektabilitas capres-cawapres
Baca juga: Survei Indikator: Elektabilitas Prabowo-Gibran Unggul Pascadebat, Anies-Muhaimin Turun
Dalam survei keseluruhan, Prabowo-Gibran memiliki elektabilitas tertinggi, yakni 43,7 persen.
Anies-Muhaimin menduduki posisi kedua dengan elektabilitas 26,1 persen. Disusul Ganjar-Mahfud dengan 19,4 persen.
Dalam survei kali ini, sebanyak 6,4 persen responden belum menentukan pilihan. Sementara 4,5 persen tidak menjawab.
Adapun survei ini digelar pada 13-18 Desember 2023.
Jumlah sampel 1.300 responden yang tersebar di 34 provinsi di Indonesia. Margin of error lebih kurang 2,7 persen dengan tingkat kepercayaan 95 persen.
Survei dilakukan dengan metode multistage random sampling. Penarikan sampel mempertimbangkan proporsi antara jumlah pemilih dan jumlah sample pada setiap provinsi, proporsi perempuan dan laki-laki dan kategori daerah urban dan rural. Primary sampling unit (PSU) berada pada level desa/kelurahan.
Baca juga: Survei Indikator: 73 Persen Pemilih PDI-P Dukung Ganjar-Mahfud, 22 Persen Pilih Prabowo-Gibran",nasional.kompas.com,2020-03-10,https://nasional.kompas.com/read/2023/12/27/17263281/survei-csis-elektabilitas-prabowo-gibran-dan-anies-muhaimin-bersaing-ketat
Ketua Nasdem Kalbar Bantah Anies Dipukul Saat Kampanye di Pontianak,"PONTIANAK, KOMPAS.com - Video calon presiden (capres) nomor urut 1, Anies Baswedan diduga dipukul pendukung saat safari di Kota Pontianak, Kalimantan Barat (Kalbar) viral.
Dalam narasi yang beredar, pemukulan terjadi saat Anies berjalan di tengah kerumunan warga dalam acara “Desak Anies” di Aming Coffee Podomoro Pontianak, Selasa (26/12/2023).
Kemudian, dari kiri Anies merangsek seorang pria bertopi putih, mengenakan baju bertuliskan ‘Amin’, menjulurkan tangan dan terlihat mengenai pipi Anies.
Baca juga: Muncul Video Anies Ditabok Saat Kampanye, Timnas Amin Akan Tingkatkan Pengamanan
Dalam video, Anies sempat kaget dan menoleh seraya tersenyum dan tetap berjalan maju.
Ketua Nasdem Kalbar Syarif Abdullah Alkadri membantah Anies sengaja dipukul dan didorong.
Menurut Abdullah, timnya telah menyimpulkan bahwa kejadian tersebut terjadi tanpa disengaja.
“Narasi yang dibangun oleh pembuat video yang viral tersebut salah atau tidak benar. Tim telah meneliti dan memeriksa video tersebut, sehingga disimpulkan insiden tersebut terjadi tanpa disengaja,” kata Abdullah dalam keterangan video yang diterima, Kamis (28/12/2023).
Menurut Abdullah, saat kejadian, posisinya tepat di belakang Anies.
""Setelah kami lambatkan videonya, tidak ada (pemukulan) itu,” ucap Abdullah.
Baca juga: Anies Baswedan Minta Penegak Hukum Adil soal Penangkapan Jubir AMIN
Abdullah menjelaskan, kejadian tersebut merupakan refleksi pendukung yang antusias menyambut kedatangan Anies.
“Insiden itu murni ketidaksengajaan. Masyarakat antusias. Dia ingin salaman atau memegang badannya Anies,"" jelas Abdullah.
Lebih lanjut, Abdullah mengungkapkan pascakejadian Anies juga tampak tersenyum. Itu menandakan keramahan dan kesopanan Anies menanggapi pendukungnya.
“Tidak ada penangkapan. Kami sudah lihat kejadian sebenarnya dan bisa pertanggungjawabkan,” tutup Abdullah.",regional.kompas.com,2020-03-10,https://regional.kompas.com/read/2023/12/28/164212278/ketua-nasdem-kalbar-bantah-anies-dipukul-saat-kampanye-di-pontianak
"Anies Dilaporkan karena Jadikan Paslon Lain Bahan Bercanda, Bawaslu: Kami Kaji","JAKARTA, KOMPAS.com - Sekelompok orang yang mengatasnamakan Advokat Pengawal Demokrasi (APD) melaporkan calon presiden (capres) nomor urut 1 Anies Baswedan ke Badan Pengawas Pemilu (Bawaslu) RI.
Mereka menilai Anies melanggar kesepakatan damai ketika berkampanye di Jambi pada 14 Desember silam, dengan menyindir dan menjadikan pasangan calon (paslon) lain sebagai bahan bercandaan.
""Awalnya, Anies menanyakan kepada para ulama yang hadir apakah menonton Debat Perdana Capres, ‘Kebetulan dua hari yang lalu debatnya soal hukum. Ikut ndak lihat debat kemarin? Nobar. Emang sepak bola, untung enggak ada meja di situ’,"" kata perwakilan APD, Yayan, dalam siaran pers laporannya ke Bawaslu.
Yayan mengatakan, Anies menyampaikan candaan itu di depan para ulama yang hadir.
Baca juga: Dana Awal Kampanye Hanya Rp 1 Miliar, Anies: Banyak Patungan dan Iuran, Inilah Gerakan Rakyat
Ia lantas menilai, tindakan Anies tak dapat dibenarkan dan bertentangan dengan ketentuan Pasal 280 (1) huruf c jo Pasal 521 UU Pemilu serta Pasal 72 ayat (1) huruf c Peraturan KPU Nomor 20 Tahun 2023 tentang Kampanye Pemilu, soal larangan menghina peserta pemilu lain.
Koordinator Divisi Penanganan Pelanggaran dan Data-Informasi Bawaslu RI, Puadi, mengonfirmasi telah laporan tersebut.
""Laporan sudah kami terima,"" ujar Puadi kepada Kompas.com via telepon, Kamis (21/12/2023).
Baca juga: Anies Tak Banyak Beri Masukan Cak Imin Jelang Debat Cawapres
Kemudian, Puadi mengatakan, jajarannya bakal melakukan kajian awal laporan tersebut terlebih dahulu.
""Berdasarkan Peraturan Bawaslu Nomor 7 Tahun 2022 tentang Temuan dan Laporan Pelanggaran Pemilu, kami punya waktu dua hari untuk melakukan kajian awal,"" katanya.
Selanjutnya, Bawaslu akan menyatakan apakah berkas laporan tersebut dinyatakan lengkap atau tidak. Apabila belum lengkap, pelapor akan diminta melengkapi.
Jika berkas dinyatakan sudah lengkap, maka akan teregistrasi dan dilakukan serangkaian kajian dan klarifikasi, serta pemeriksaan oleh Bawaslu.
Baca juga: Dana Awal Kampanye Paling Sedikit, Anies Mengaku Sudah Paceklik Setahun",nasional.kompas.com,2020-03-10,https://nasional.kompas.com/read/2023/12/22/07560191/anies-dilaporkan-karena-jadikan-paslon-lain-bahan-bercanda-bawaslu-kami-kaji
"Survei CSIS: Elektabilitas Prabowo-Gibran 43,7 Persen, Anies-Muhaimin 26,1 Persen, Ganjar-Mahfud 19,4 Persen","JAKARTA, KOMPAS.com - Lembaga survei dari Centre for Strategic and International Studies (CSIS) merilis hasil survei terbaru terkait elektabilitas calon presiden dan wakil presiden 2024.
Pasangan capres-cawapres nomor urut 2 Prabowo Subianto-Gibran Rakabuming memiliki elektabilitas tertinggi, yakni 43,7 persen.
Disusul kemudian oleh paslon nomor urut 1 Anies Baswedan-Muhaimin Iskandar dengan 26,1 persen dan paslon nomor urut 3 Ganjar Pranowo-Mahfud MD dengan 19,4 persen.
Dalam survei kali ini, sebanyak 6,4 persen responden belum menentukan pilihan. Sementara 4,5 persen tidak menjawab.
Baca juga: Survei Indikator: 10 Parpol Pemilu 2024 Tak Lolos ke Parlemen, Termasuk PPP dan PSI
Kepala Departemen Politik dan Perubahan Sosial CSIS Arya Fernandes mengatakan, Prabowo-Gibran dan Anies-Muhaimin bersaing ketat di wilayah Sumatera dan Jakarta-Banten.
“Kalau kita breakdown berdasarkan zona, memang menunjukkan di wilayah Sumatera itu pasangan 01 dan 02 masih bersaing ketat,” kata Arya dalam konferensi pers secara daring, Rabu (27/12/2023).
Di wilayah Sumatera, Anies-Muhaimin mendapatkan 34,4 persen, sedangkan Prabowo-Gibran mendapatkan 36,5 persen.
“Di Jakarta-Banten juga bersaing ketat antara 01 dan 02 ya, 35 versus 35 persen, hampir sama,” ujar Arya.
Baca juga: Survei Indikator: 73 Persen Pemilih PDI-P Dukung Ganjar-Mahfud, 22 Persen Pilih Prabowo-Gibran
Adapun survei ini digelar pada 13-18 Desember 2023 atau pasca debat pertama Pilpres 2024 yang dilangsungkan pada 12 Desember lalu.
Jumlah sampel 1.300 responden yang tersebar di 34 provinsi di Indonesia. Margin of error lebih kurang 2,7 persen dengan tingkat kepercayaan 95 persen.
Survei dilakukan dengan metode multistage random sampling. Penarikan sampel mempertimbangkan proporsi antara jumlah pemilih dan jumlah sample pada setiap provinsi, proporsi perempuan dan laki-laki dan kategori daerah urban dan rural.
Primary sampling unit (PSU) berada pada level desa/kelurahan.
Baca juga: Survei Indikator: Prabowo-Gibran Unggul di Hampir Semua Wilayah, Kecuali Jateng dan DIY
Survei Indikator
Sebelumnya, lembaga survei Indikator Politik Indonesia juga merilis hasil survei yang juga menempatkan paslon Prabowo-Gibran di urutan pertama dengan elektabilitas 46,7 persen.
Bedanya, pada urutan kedua ditempati oleh paslon Ganjar-Mahfud dengan 24,5 persen dan Anies-Muhaimin dengan 21 persen.
Berbeda dengan CSIS, Indikator Politik Indonesia melakukan survei pada 23-24 Desember 2023 terhadap 1.217 responden atau sehari pasca debat kedua Pilpres 2024 digelar.
Adapun survei ini digelar dengan metode random digit dialing atau RDD (265 responden) dan double sampling atau DS (952 responden), dengan usia 17 tahun ke atas atau sudah menikah dan memiliki ponsel.
Baca juga: Survei Indikator Politik: Gibran Unggul Signifikan dalam Debat Cawapres
Margin of error lebih kurang 2,9 persen dengan tingkat kepercayaan 95 persen.
Dari survei itu, tercatat 7,8 persen responden tidak memberikan jawaban atau swing voters.
“Kalau misalnya paslon 02 berhasil merebut sebagian besar dari basis pemilik swing (voters), yang sudah punya preferensi dari ketiga calon maupun pemilih undecided, kemungkinan (Pilpres 2024) bisa satu putaran,” kata Direktur Indikator Politik Indonesia Burhanuddin Muhtadi dalam konferensi pers secara daring, Selasa (26/12/2023).
Sebaliknya, lanjut Burhanuddin, swing voters juga bisa menentukan paslon mana yang akan menemani pasangan Prabowo-Gibran seandainya Pilpres 2024 digelar dua putaran.
Baca juga: Survei Indikator: Mayoritas Pemilih Jokowi di Pilpres 2019 Kini Dukung Prabowo
“Tetapi kalau gagal dan harus diselesaikan ke putaran kedua, maka kelompok pemilih swing ini juga akan menentukan siapa yang menemani Prabowo-Gibran,” kata Burhanuddin.
“Siapa pendamping Prabowo-Gibran, kami belum bisa menebak sampai hari ini,” tutur dia.",nasional.kompas.com,2020-03-10,https://nasional.kompas.com/read/2023/12/27/17015861/survei-csis-elektabilitas-prabowo-gibran-437-persen-anies-muhaimin-261?page=all
Kompas.com Kembali Jadi Pemenang Kategori Media Online Tepercaya,"JAKARTA, KOMPAS.com — Superbrands, lembaga arbiter internasional untuk brand terkemuka bersama lembaga survei Nielsen kembali memberikan apresiasi kepada merek-merek terbaik Indonesia.
Untuk kategori Trusted Online Media (media online tepercaya), Kompas.com tampil sebagai pemenang di antara ribuan media online yang tumbuh dan berkembang di era digital di Indonesia.
Pada 2018, Dewan Pers mencatat, setidaknya ada 43.000 media online di Indonesia.
Dari puluhan ribu media online itu, tidak lebih dari 200 media online yang dikategorikan terverifikasi.
Pengumuman pemenang dan pemberian penghargaan kepada Kompas.com sebagai media online tepercaya dilakukan pada Gala Awards Superbrands 2019 di Ballroom 1, Sheraton Gandaria, Jakarta, Jumat, 26 Juli 2019.
Superbrands adalah lembaga yang sudah berdiri selama lebih dari 26 tahun di lebih dari 86 negara.
Atas pengakuan dan penghargaan Superbrands 2019 untuk Kompas.com sebagai media online tepercaya ini, Pemimpin Redaksi Kompas.com Wisnu Nugroho mengucapkan terima kasih khususnya kepada para pembaca.
“Pengakuan dan penghargaan ini adalah peneguh atas upaya jurnalistik Kompas.com selama 23 tahun lebih untuk menjadi media rujukan tepercaya bagi para pembaca,” ujar Wisnu di Jakarta, Kamis (1/8/2019).
Untuk Kompas.com yang didirikan pada 14 September 1995, penghargaan sebagai media online tepercaya merupakan penghargaan berturut-turut kedua setelah pada 2018 mendapat penghargaan yang sama.
Baca juga: Kompas.com Sabet Penghargaan Berita Online Terpercaya dari Superbrands
“Terima kasih pertama-tama untuk para pembaca,” ujar Wisnu Nugroho.
Dalam satu tahun terakhir, sebagai media online tepercaya, Kompas.com berperan dalam jaringan internasional penguji fakta (International Fact Checking Network/IFCN) untuk melawan hoaks dan mengungkapkan kebenaran dengan kerja-kerja jurnalistik.
- -
Puluhan media dan lembaga di seluruh dunia ada dalam upaya bersama memerangi hoaks dan terhubung dalam IFCN sejak 2017.
Baca juga: Kompas.com Tersertifikasi dalam Jaringan Internasional Penguji Informasi
Bukti pencapaian
Terkait pemberian penghargaan ini, CEO Superbrands Indonesia Grandtyana Mayasari mengatakan, penghargaan yang diraih para pemilik brand merupakan bukti pencapaian.
“Brand yang mendapat Superbrands Awards 2019 telah menjadi TOP of Mind yang mendapat tempat sangat spesial di mata para konsumen, melalui inovasi-inovasi yang dilakukan selama ini,” ujar Grandtyana.
Acara Gala Awards Superbrands Indonesia 2019 dihadiri sekitar 40 brand terkemuka di Indonesia yang mendapatkan status dan penghargaan berdasarkan penilaian yang dilakukan oleh Nielsen dengan 38 kategori penghargaan.",money.kompas.com,2020-03-10,https://money.kompas.com/read/2019/08/01/124215826/kompascom-kembali-jadi-pemenang-kategori-media-online-tepercaya
Kompas.com Tersertifikasi dalam Jaringan Internasional Penguji Informasi,"KOMPAS.com — Kompas.com secara resmi tersertifikasi dalam jaringan internasional penguji fakta (IFCN - International Fact-Checking Network). Di dunia, selain Kompas.com, baru ada 49 lembaga lain yang mendapat sertifikasi ini.
""Di era digital saat ini, masyarakat dihadapkan pada banjir informasi yang serba tidak pasti kebenarannya. Sertifikasi IFCN ini meneguhkan komitmen Kompas.com yang selalu menguji setiap informasi untuk mencari dan menemukan kebenaran. Dengan upaya ini, hoaks yang marak dan menyamar sebagai informasi bisa dilawan,"" kata Pemimpin Redaksi Kompas.com Wisnu Nugroho di Jakarta, Rabu (17/10/2018).
KOMPAS.com/ANDREAS LUKAS ALTOBELI Pemimpin Redaksi Kompas.com Wisnu Nugroho memberikan sambutan saat perayaan HUT Kompas.com di Bentara Budaya Jakarta, Palmerah Selatan, Jakarta, Jumat (14/9/2018). Berbagai acara dan kegiatan meramaikan acara HUT yang ke 23 Kompas.com yang jatuh pada tanggal 14 September. Pemimpin Redaksi Kompas.com Wisnu Nugroho memberikan sambutan saat perayaan HUT Kompas.com di Bentara Budaya Jakarta, Palmerah Selatan, Jakarta, Jumat (14/9/2018). Berbagai acara dan kegiatan meramaikan acara HUT yang ke 23 Kompas.com yang jatuh pada tanggal 14 September.
Secara khusus, sejak awal tahun 2018, Kompas.com memiliki rubrik Hoaks atau Fakta . Rubrik ini khusus berisi berita-berita hasil verifikasi wartawan Kompas.com atas sejumlah informasi dan isu yang beredar luas di masyarakat yang belum dapat dipastikan kebenarannya.
Hampir setiap hari, Tim Hoaks atau Fakta Kompas.com melakukan verifikasi dengan turun langsung ke lapangan dan menelusuri sumber-sumber yang kredibel untuk memastikan kebenaran sebuah informasi.
Database Hoaks atau Fakta yang ditelusuri Kompas.com bisa dilihat di sini.
Bekerja sama dengan Turnbackhoax.id, Kompas.com juga menerima laporan masyarakat atas sejumlah informasi yang ingin diverifikasi. Formulir laporan masyarakat bisa dilihat di sini agar siapa pun bisa berpartisipasi.
Rubrik khusus ini pula yang menjadi salah satu pertimbangan IFCN memasukkan Kompas.com sebagai jejaring lembaga penguji internasional.
Pertimbangan lain yang dijadikan dasar adalah sikap Kompas.com yang non-partisan, transparan dalam sumber pendanaan, dan selalu mengutip sumber-sumber yang kredibel untuk setiap beritanya.
Di antara 49 lembaga yang tersertifikasi dalam jaringan internasional penguji fakta (IFCN - International Fact-Checking Network), ada lima lembaga dari Indonesia.
Lima lembaga itu adalah Kompas.com, Tirto.id, Liputan6.com, Tempo.co, dan Mafindo (turnbackhoax.id).",nasional.kompas.com,2020-03-10,https://nasional.kompas.com/read/2018/10/17/08133311/kompascom-tersertifikasi-dalam-jaringan-internasional-penguji-informasi
"Kritik Debat Capres-Cawapres, Pengamat: Jangan Gagah-gagahan dengan Istilah Asing","JAKARTA, KOMPAS.com - Direktur Eksekutif Indostrategic Ahmad Khoirul Umam menilai sebaiknya para capres-cawapres membahas persoalan utama bangsa dalam debat dengan mendekatkan kepada kenyataan yang dihadapi masyarakat, dan tidak hanya bermain dengan kata-kata rumit yang belum tentu dipahami semua kalangan.
""Yang bisa dilakukan down to earth. Lakukan sesuatu, berikan penjelasan yang memang betul-betul relate dengan masyarakat kita, relate dengan realitas dan kapasitas negara, pemerintahan kita,"" kata Umam dalam program Sapa Indonesia Pagi di Kompas TV, pada Selasa (26/12/2023).
""Sehingga kemudian bukan hanya soal gagah-gagahan dengan mengajukan istilah-istilah asing tetapi sebenarnya tidak begitu relate dengan kebutuhan kita,"" sambung Umam.
Baca juga: Ada Suara Udah Saat Gibran Bicara di Debat, Ini Penjelasannya
Umam menilai jika para kandidat hanya mengumbar istilah sulit dan terjebak pada permainan kata-kata maka terkesan meneguhkan diri sebagai kelompok elite yang sulit dipahami dan membingungkan masyarakat awam.
""Seharusnya bisa dibumikan lebih clear. Karena bagaimanapun juga ini kan kita tidak perlu dalam konteks debat publik itu bermain dengan game atau permainan dengan sejuta diksi,"" ucap Umam.
""Maka yang bisa dilakukan selain gimik-gimik itu tadi, pendetailan dari konteks kebijakan itu seperti apa,"" sambung Umam.
Baca juga: Debat Mahfud Vs Gibran soal Pajak, Pahami Bedanya Rate Pajak, dengan Rasio Pajak
Seperti diberitakan sebelumnya, dalam debat kedua yang dilaksanakan pada Jumat (22/12/2023) lalu, cawapres nomor urut 2 Gibran Rakabuming melontarkan pertanyaan kepada cawapres nomor urut 3 Mahfud MD soal proses penyusunan aturan tentang teknologi carbon capture storage.
Carbon capture storage atau penangkapan dan penyimpanan karbon adalah suatu proses penangkapan dan penyimpanan karbon dioksida selama persiapan bahan bakar fosil maupun dari limbah hasil pembakarannya. Kegiatan penangkapan dan penyimpanan karbon dilakukan pada pembangkit listrik dan proses pengolahan gas alam.
Mahfud lantas menjelaskan proses penyusunan aturan atau rancangan undang-undang secara umum dan lazim yakni mulai dari kajian akademik, penyusunan draf rancangan undang-undang, pembahasan antara pemerintah dan DPR, proses revisi sampai disahkan.
Baca juga: Pernyataan Bersama TV Penyelenggara Debat Cawapres, Bantah Kejanggalan Mikrofon
Dia juga kemudian memaparkan topik pertanyaan yang diajukan Gibran seharusnya disampaikan pada debat ke-4 yang membahas soal lingkungan hidup.
Pada kesempatan yang sama, Gibran bertanya kepada cawapres nomor urut 1 Muhaimin Iskandar tentang State of Global Islamic Economy (SGIE) dan menaikkan peringkat Indonesia.
Muhaimin lantas sempat meminta Gibran buat menjelaskan SGIE yang terkait dengan perekonomian syariah dan produk halal. Setelah itu Muhaimin kemudian baru memaparkan argumennya terkait pertanyaan itu.",nasional.kompas.com,2020-03-10,https://nasional.kompas.com/read/2023/12/26/12511881/kritik-debat-capres-cawapres-pengamat-jangan-gagah-gagahan-dengan-istilah
